open,high,low,close
34780,35600,34333,35124
35130,36325,35060,35814
35814,36695,35560,36300
36300,36690,35592,35940
35940,36999,35681,36481
36481,36873,35762,36105
36105,36324,35810,35865
35865,36266,35180,35556
35563,35823,34100,34331
34261,34828,33914,34582
34583,35496,34541,35105
35105,35751,35001,35542
35540,35999,35201,35201
35202,35470,34741,34792
34790,35300,34500,35187
35186,35294,33774,33785
33778,34064,32164,33452
33452,33686,32848,33225
33302,33848,32895,33209
33210,34404,33200,33665
33665,34265,33044,33330
33329,33796,33108,33513
33550,33851,33123,33200
33200,33289,32007,32352
32239,32667,32100,32377
32370,32440,31662,31744
31777,31961,28980,29561
29561,30061,28750,29505
29480,30000,29047,29238
29220,29447,28500,28500
28501,29193,27892,28728
28732,28768,26831,27042
27055,27224,24322,26700
26700,28749,26695,28210
28210,28808,27713,27840
27840,28299,27448,27951
27952,28974,27925,28299
28298,28723,28151,28392
28392,28496,27921,28435
28435,28752,27847,28026
28027,28235,27732,28178
28176,28366,27733,28021
28021,28159,27674,27892
27895,28400,27800,28299
28298,29322,28113,29297
29298,29298,28835,29046
29016,29597,28960,29400
29400,29499,28900,29112
29111,29358,28750,29329
29329,29496,29010,29292
29292,29434,29096,29096
29153,29159,28338,28394
28394,28469,27820,28393
28393,28456,28000,28034
28034,28256,27661,28039
28010,28250,27700,28175
28140,28618,28045,28200
28228,28388,27834,27905
27904,28108,27830,27882
27882,28078,27323,27689
27629,28094,27204,27729
27729,27925,27531,27837
27837,28133,27679,28011
28011,28850,28011,28682
28676,28686,28292,28434
28441,28518,28300,28400
28389,28867,28204,28731
28731,28917,28517,28715
28713,29160,28577,28916
28930,29181,28736,28974
28974,29194,28862,28950
28968,29200,28772,29114
29116,29198,28880,29003
29048,29202,28896,29109
29086,29896,29036,29680
29681,30000,29588,29687
29687,29792,29319,29509
29501,29660,29365,29659
29591,29689,29442,29506
29501,29900,29481,29664
29749,30231,28656,29644
29644,30073,29300,29950
29952,30485,29871,30270
30270,30700,30170,30538
30570,31317,30359,31317
31304,32894,31277,32853
32784,32784,31675,31675
31720,31936,31413,31909
31882,32252,31634,32234
32234,32865,31847,32127
32127,33371,32017,33019
33099,33694,32905,33422
33422,34154,33422,34144
34100,35750,33882,35853
35779,35909,33801,34585
34585,35730,34388,35325
35476,36947,35314,36947
36920,38057,35981,37969
37969,40500,37333,38977
39014,40348,38672,39077
39077,39201,36800,38244
38259,41420,37699,40509
40505,47999,40482,47681
47720,65233,45600,62000
62396,63300,44933,48522
49300,51617,44000,47544
47544,49451,45002,48696
48686,49270,46401,48527
48292,49001,45450,48339
48333,48339,44640,44803
44786,45380,37406,39256
39398,43501,37938,41724
41671,42684,40511,41448
41440,42350,40474,40975
40979,42000,39100,39979
39987,41499,39254,40000
40049,42200,39904,41271
41271,41703,39000,41322
41322,41770,40214,40515
40515,40543,38437,39941
39941,40750,39660,40364
40365,40585,39800,40081
40081,40437,39720,40364
40364,40469,39202,39648
39653,40550,38800,39972
39851,45500,39851,43000
43100,44698,41818,43453
43506,44450,43247,43568
43568,44821,43419,44403
44403,47190,44400,46111
46111,47000,43590,44707
44707,44803,42835,44200
44194,45665,43756,44485
44485,44754,43502,44723
44723,47349,44470,46567
46566,51010,46475,48400
48398,49638,47246,49011
49036,49383,48001,48620
48621,51970,48620,51754
51761,51761,49618,50780
50782,53389,50248,52465
52465,58000,45501,51450
51431,53435,51100,53382
53381,54200,51800,54073
54070,56562,53409,55648
55648,56999,53545,55705
55706,56289,54880,56025
56025,56810,55550,56002
56002,56552,55800,56140
56140,56141,54748,54572
54608,54989,51415,53000
53000,53635,52453,52740
52792,53504,52471,53303
53303,55174,53000,54864
54864,55262,54052,54492
54492,55087,49708,51000
51000,51003,48207,50542
50542,51674,50000,51189
51190,51195,50101,50867
50867,52267,50767,51108
51109,51384,50220,50862
50850,52394,50733,51845
51845,52376,51724,51901
51912,52399,51320,51327
51332,51677,50700,51503
51504,51939,51111,51487
51487,51635,50699,51080
51080,53546,50776,53388
53388,54900,53266,53927
53927,53937,52366,52598
52633,53148,51801,51958
51976,52978,51919,52565
52565,53094,52319,52540
52539,52745,49619,50793
50784,51231,50541,51156
51156,51471,45895,46632
46633,48100,22500,43501
43494,47266,43099,45535
45536,47300,44600,45778
45784,46140,45083,45809
45813,48740,44691,48025
48025,49831,47506,49045
49046,49109,46200,46777
46777,46926,44438,45677
45696,47800,45487,47779
47780,48360,46972,47383
47383,47383,46288,46516
46516,47151,46350,46880
46880,46999,45000,45615
45615,46800,43596,46167
46231,46502,45263,46117
46102,46392,45769,46004
46003,46085,44681,45406
45408,45524,44872,45284
45262,45459,44530,44797
44788,45768,44100,45613
45613,46250,45376,45583
45583,45766,44082,44487
44487,44892,44101,44722
44623,44772,44162,44392
44392,44440,43321,44037
44029,44900,43642,44883
44883,44883,43131,43457
43435,44052,42838,44003
44005,44997,43879,44352
44352,45551,44349,45199
45323,46500,45170,46218
46163,46510,45528,46563
46563,48300,46382,48205
48204,49317,47777,48626
48626,48770,47775,48311
48311,49306,47811,49029
49029,51222,48500,49400
49308,50461,49086,50282
50283,50498,47900,48535
48518,48550,46500,47868
47868,48552,47600,48264
48265,48959,47770,48915
48838,50210,48801,49765
49747,50350,48636,50198
50199,50477,49372,50058
50058,50277,49364,49627
49661,49950,47232,49539
49539,49613,48000,48661
48662,48831,48086,48195
48199,48520,45401,45700
45780,47021,45038,46936
46936,47550,46495,47134
47117,47700,46890,46982
46952,47096,46632,46961
46970,47978,46901,47801
47769,48594,47322,48185
48185,48469,47018,47354
47354,47750,46725,47398
47399,48000,47213,47614
47614,48052,47339,47424
47465,48038,47457,47843
47842,47943,47323,47540
47528,47594,46583,46483
46483,46763,46000,46209
46209,46810,46058,46622
46616,46783,46096,46501
46501,47212,46404,46857
46858,47522,46857,47457
47421,47677,47386,47527
47527,47800,47311,47799
47799,47937,47501,47637
47637,47948,47630,47825
47826,49271,47825,48903
48903,49200,47091,48029
48000,48069,47110,47421
47421,47946,47211,47376
47376,47600,47217,47564
47568,48250,47353,47802
47799,47932,47653,47763
47763,47808,47325,47381
47325,47646,47027,47625
47625,47693,47214,47266
47265,48000,46433,46709
46709,47000,46424,46748
46748,46754,45554,46041
46024,46343,45872,46109
46096,46900,45909,46173
46173,47815,45833,46587
46588,46621,46257,46613
46585,46713,46402,46446
46446,47102,46413,47075
47078,47250,46846,47130
47130,47187,46594,46747
46747,46755,46499,46731
46731,46984,46540,46824
46824,47807,46777,47807
47807,49000,47807,48605
48601,49609,48556,49619
49619,50039,49610,49970
49970,51239,49650,50320
50320,52389,50320,51151
51151,52194,51018,51595
51595,52200,49973,50884
50883,50996,48231,48859
48859,49361,48501,48741
48743,49091,48513,48693
48693,48721,47649,48337
48337,48490,46856,47270
47262,47826,47184,47783
47782,48500,47734,48195
48195,48406,48063,48237
48237,48499,48129,48382
48382,49537,48379,49087
49087,49456,48883,48987
48987,49912,48987,49802
49802,50153,48981,49264
49265,49500,49048,49273
49273,49380,48780,49380
49380,49744,49148,49700
49700,49938,49466,49554
49554,49720,49512,49641
49641,49900,49610,49717
49717,49897,49180,49427
49427,49680,49286,49680
49679,49837,49100,49365
49365,49366,48053,48947
48947,48950,48558,48714
48714,48802,48589,48589
48674,48698,48156,48486
48486,49113,48486,49112
49112,49701,49028,49343
49343,50054,49158,49870
49870,52832,49737,52211
